EMPLEADO;ZONARUTA;NOMZONA;ORDCOB;RAZONSOC;DIRECCION;CODIGOCLI;fechainac;entreayer;FECHAING;ENTREGAS;ciudadedi;zondomingo;estado;nomciudad;publicacio;nompu;modalidad;tipo;marca;fechapla;direccion2 
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;ABUNDANCIA LA PUERTA DEL SOL;CL 33 # 19-62;ABUPUE01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;AUTOSERVICIO LOS HERMANOS;CR 16B # 51B-150;AUTHER01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;CONFAMILIARES CAMPOHERMOSO;AV.19 #14 53;CONFAM02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;COPY CALDAS;CL 26 # 21-11;COPCAL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGAS SUPERSERVICIO;CR 12 #47L 03;DRODRO01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;DROGUERIA GRAN ESTACION;CR 23 # 40-110;DROGRA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;GONZALEZ MARIN IVAN. HOME MARKET;CL 4 NUCLEO 3 LOCAL 7;IVAGON01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;GRAJALES LEON RUBEN DARIO;CR 23 #14 65;DROOLA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;LA CASA DEL DETALLE;AV.19 #15 10;CASDET01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA ANGIE;CR 22 #48B-60;MISANG03;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;MUNDO EDITORES;AV 19 # 31-17;MUNEDI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;RAMIREZ O. GUSTAVO DE JESUS;CL 46 #12-10;SUPMER02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;;;;4;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUDROGUERIA;CR 20 #50 74;SUDROG01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUPERMERCADO RANCHO ROJO;CL 12 #7B 76;SUPRAN01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;SUPERMERCADO VILLAPILAR;CL 10 Nº 2C  15;SUPVIL02;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;;SUPERMERCADOS DEL CENTRO S.A.S;CALLE 9B #1F 80;SUPCEN02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;TIENDA INESITA;CL 30 #16 64;TIEINE01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
ALEXANDER DURANGO GARCIA;ZE051;ZONA DE ENTREGA;**;TIENDA Y CAFETERIA EL PAISAJE;CR 26 # 15-05;TIEPAI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;CACHARRERIA LA MISCELANEA JOSE ARIS;CL 9 # 5-60;CACMIS01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;CASETA DE PRENSA;CALLE 5A. # 3-55;CASPRE01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;CASETA EL TRAILER;CL 3A # 18-28;CASTRA01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;MISCELANEA DON VICTOR;CR 5 # 7-12;MISVIC01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;MISCELANEA DOÑA MARTHA MISCE DOÑA M;CLL 4#16A 04;DOÑMAR01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;MISCELANEA EL ROMBOY;MZA 45 #8 15;MISROM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;;MISCELANEA VAKALU;CL 7 # 1-50;MISVAK01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
GUSTAVO RIOS MORA;ZE020;ZONA ENTREGA 20;**;RAPITIENDA EL CRUCERITO;CR 5 #12 02;RAPCRU01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;CAFETERIA AVENIDA SANTANDER;CR 23 # 55-01;CAFAVE01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;CAFETERIA LAS MIGAS;CAFET AEROPUERTO LA NUBIA;CAFMIL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;COMERCIALIZADORA MERCALDAS CALLEJA;CR 23 # 47-30;COMMER02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;7;COMERCIALIZADORA MERCALDAS PALMAS;CR 23 # 58-03;COMMER01;;;;6;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;COMERCIALIZADORA RUDA;LA FLORIDA;COMRUD02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;CONFAMILIARES SAN MARCEL;CR 30 #93 25;CONCOM01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;DROGUERIA CASA ROJA;CR 32 # 104A-15;DROCAS02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;DROGUERIA REINEL;CR 35 # 102 A - 72;DROREI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;FERREFATIMA;CL 65 #30B 31;FERFAT01;;;;1;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;FRANCO PATRICIA PAPE PRAXIS;CR 25 A # 62 36;PAPPRA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;HECTOR BERRIO SUAREZ;CR 35A # 100C - 08;HECBER01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;MISCELANEA BELENCITO;CR 24 A # 55 B - 47;MISBEL02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;MISCELANEA DOÑA INES;CR 35 #100-29;MISDOÑ01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;MISCELANEA GOMEZ;CR 35 # 99 A - 05;MISGOM02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;PANADERIA EL GRAN BUÑUELO;CR 35 # 99A-99;PANGRA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;PAPELERIA BELEN;CR 23 # 54-53;PAPBEL01;;;;1;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;SUPERMERCADO IDEAL # 1;CL 67B # 31-15;SUPIDE01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;;TIENDA ALTAMIRA;CR 36# 63A26;TIEALT02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;TIENDA J.2;CL 105D #32A 33;TIEJ201;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;TIENDA LA PUERTA;CR 30C #65 63;TIEPUE01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;TIENDA MIXTA LIMEL;CL 68 #35 75;TIELIM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
JUAN CARLOS RENDON;ZE053;ZONA DE ENTREGA;**;TIENDA MIXTA MINCHO;CL 69A  # 42-11;TIEHER02;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;ABUNDANCIA LA GALLERA;CL 53 #25A 69;ABUGAL01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;AUTOSERVICIO VILLACARMENZA;CR 36 # 47-05;AUTVIL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;CAFETERIA Y HELADERIA COPOS;CL 48 # 25 A-04;CAFCOP01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;CARRO DE DULCES   CLINICA MANIZALES;CR 25 # 24-41;CARDUL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;20;CONFAMILIARES   CRISTO REY;CR 25 #45 25;CONFAM03;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;CONFAMILIARES   LA 50;CL 50 #25 40;CONFAM01;;;;4;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;50;DROCALDAS;CR 24 #30 02;DROCAL02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;DROGUERIA FARMACENTER;CR 23 # 30-29;DROFAR01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;DROGUERIA SANTA INES  # 3;CR 25 # 47-10;DROSAN06;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;90;DROGUERIA SANTANA;CR 25 #33A 02;DROSAN05;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;10;FRUTAS Y VERDURAS;CR 23 # 45 62;FRUVER01;;;;4;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;FUNDACION SOFIA;KM 3 VIA CHINCHINA;FUNSOF02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;;GALERIA LA 50;CL 50 # 26-29;GALE5001;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;LA CASA DEL PAN;CR 24 #39 26;CASPAN01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;40;LA TIENDA DE ANITA;CR 25 # 41-72;TIEANI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;RAPITIENDA MISCELANEA LA RECTA;CL 12 # 30-50;RAPEXI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;SUPERMERCADO EL CAMPEON;CR 28A #48 06;SUPCAM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;SUPERMERCADO EL SUPEREXITAZO;CALLE 40 # 21-22;SUPSUP01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;TIENDA LA CANASTA;CL 29 #27 61;TIECAN01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;TIENDA LA CHIQUITINA;CL 48 # 25-13;TIECHI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;TIENDA LA NUBIA;CR 42B # 10C 48;TIENUB01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
SANDOCAN MORALES BUITRAGO;ZE050;ZONA ENTREGA 50;**;TIENDA LA PIRAMIDE;CL 24 # 23 64;TIEPIR01;;;;1;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;ABUNDANCIA ALASKA;CR 24A #61 45;ABUALA01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;ABUNDANCIA OASIS;CL 63 #12B 10;ABUOAS01;;;;1;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;ALMACENES EXITO S.A;CR 23 # 65-149;ALMEXI01;;;;5;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;AUTOSERVICIO MERCAPLAZA;CL 72 #20 13;AUTPAL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;10;COMERCIALIZADORA MERCALDAS PALERMO;CL 68 # 27A-30;COMMER03;;;;5;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;DROGUERIA CALDAS;CR 20 # 74-54;DROCAL03;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;DROGUERIA MILAN;CR 19 #74A 36;DROMIL01;;;;7;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;LONDOÑO JOSE FERNANDO. DR. VILLAHER;CR 11 # 51E-16;JOSLON01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MERCAPLAZA ALTA SUIZA;DIAGONAL 20 #74 86;MERALT01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MISCELANEA EL CABLE;CR 23B #65 63;MISCAB01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MISCELANEA JUANCHITO;CL 74 #19 82;MISJUA01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MISCELANEA LA RAMBLA;CL 63 N. 22-17;MISRAM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MISCELANEA LA UNION;CL 73 #19 105;MISUNI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MISCELANEA MONACO;CR 27 #69 21;MISMON01;;;;4;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;MISCELANEA MUÑOZ;CL 67 # 7A-56;MISMUÑ01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;MISCELANEA RICO;CR 23 # 71-117;MISRIC01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;OFICINA PALERMO;CR 27 A # 66-30;OFIORI01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;OLIMPICA S.A;CR 23 # 59-70;SUPDRO02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;PANADERIA LA CALEÑA;CR 20 # 52-61;PANCAL01;;;;4;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;PANADERIA LA CAROLA;CR 11 # 55-06;PANCAR02;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;PANADERIA LA RIQUISIMA;CL 67 #11 18;PANRIQ01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;PAPELERIA COLOMBIA;CR 23 # 60-70;PAPCOL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;PAPELERIA RAMBLA;CR 21 # 62-14;PAPRAM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;PROMOTORA JARAMILLO RIVAS S.A.S;CR 27 # 69B-25;PROJAR01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;RAPITIENDA FILON;CL 67 #9A 17;RAPFIL01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;RAPITIENDA LA 63;CR 23C #63 53;MIS6301;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;RAPITIENDA SAN RAFAEL;CR 21 #67 32;RAPRAF01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;SERGIO ANTONIO JIMENEZ;CL 65B #10 136;FABJIM01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;;SUPERTIENDAS Y DROGUERIA OLIMPICA;CR 23 # 59-70;SUPDRO01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;T.M. PAPELERIA  MISCELANEA;CL 77 #20 60;TMPAPE01;;;;3;;;;;PAT;PATRIA;;;;31/03/2011;
YONATHAN LONDOÑO JURADO;ZE052;ZONA DE ENTREGA;**;TIENDA EL TROCADERO;CL 67 # 10-40;TIETRO01;;;;2;;;;;PAT;PATRIA;;;;31/03/2011;
